team_id,team_name,team_short,league_id,is_mls_club,conference,asa_team_id
jYQJ19EqGR,Seattle Sounders FC,Seattle Sounders FC,mls,1,NA,jYQJ19EqGR
pzeQZ6xQKw,Colorado Rapids,Colorado Rapids,mls,1,NA,pzeQZ6xQKw
X0Oq66zq6D,Chicago Fire FC,Chicago Fire FC,mls,1,NA,X0Oq66zq6D
mKAqBBmqbg,FC Dallas,FC Dallas,mls,1,NA,mKAqBBmqbg
19vQ2095K6,New England Revolution,New England Revolution,mls,1,NA,19vQ2095K6
NPqxKXZ59d,Charlotte FC,Charlotte FC,mls,1,NA,NPqxKXZ59d
"c(""mvzqoLZQap"", ""a2lqR4JMr0"")","c(""mvzqoLZQap"", ""a2lqR4JMr0"")","c(""mvzqoLZQap"", ""a2lqR4JMr0"")",mls,1,NA,"c(""mvzqoLZQap"", ""a2lqR4JMr0"")"
kRQand1MKZ,Minnesota United FC,Minnesota United FC,mls,1,NA,kRQand1MKZ
YgOMngl5wN,Houston Dynamo FC,Houston Dynamo FC,mls,1,NA,YgOMngl5wN
0KPqjA456v,San Jose Earthquakes,San Jose Earthquakes,mls,1,NA,0KPqjA456v
wvq9B9wQWn,St. Louis City SC,St. Louis City SC,mls,1,NA,wvq9B9wQWn
vzqoOgNqap,Nashville SC,Nashville SC,mls,1,NA,vzqoOgNqap
APk5LGOMOW,CF Montréal,CF Montréal,mls,1,NA,APk5LGOMOW
EKXMeX3Q64,D.C. United,D.C. United,mls,1,NA,EKXMeX3Q64
Vj58weDM8n,New York City FC,New York City FC,mls,1,NA,Vj58weDM8n
"c(""kRQand1MKZ"", ""APk5LGOMOW"")","c(""kRQand1MKZ"", ""APk5LGOMOW"")","c(""kRQand1MKZ"", ""APk5LGOMOW"")",mls,1,NA,"c(""kRQand1MKZ"", ""APk5LGOMOW"")"
kaDQ0wRqEv,LA Galaxy,LA Galaxy,mls,1,NA,kaDQ0wRqEv
NWMWlBK5lz,FC Cincinnati,FC Cincinnati,mls,1,NA,NWMWlBK5lz
Z2vQ1xlqrA,Sporting Kansas City,Sporting Kansas City,mls,1,NA,Z2vQ1xlqrA
zeQZkL1MKw,Inter Miami CF,Inter Miami CF,mls,1,NA,zeQZkL1MKw
eVq3ya6MWO,Los Angeles FC,Los Angeles FC,mls,1,NA,eVq3ya6MWO
mvzqoLZQap,Columbus Crew,Columbus Crew,mls,1,NA,mvzqoLZQap
gpMOLwl5zy,Austin FC,Austin FC,mls,1,NA,gpMOLwl5zy
lgpMOvnQzy,Vancouver Whitecaps FC,Vancouver Whitecaps FC,mls,1,NA,lgpMOvnQzy
a2lqRX2Mr0,New York Red Bulls,New York Red Bulls,mls,1,NA,a2lqRX2Mr0
WBLMvYAQxe,Portland Timbers FC,Portland Timbers FC,mls,1,NA,WBLMvYAQxe
jYQJ8EW5GR,Orlando City SC,Orlando City SC,mls,1,NA,jYQJ8EW5GR
"c(""mKAqBBmqbg"", ""APk5LGOMOW"")","c(""mKAqBBmqbg"", ""APk5LGOMOW"")","c(""mKAqBBmqbg"", ""APk5LGOMOW"")",mls,1,NA,"c(""mKAqBBmqbg"", ""APk5LGOMOW"")"
9z5k7Yg5A3,Philadelphia Union,Philadelphia Union,mls,1,NA,9z5k7Yg5A3
"c(""mvzqoLZQap"", ""wvq9B9wQWn"")","c(""mvzqoLZQap"", ""wvq9B9wQWn"")","c(""mvzqoLZQap"", ""wvq9B9wQWn"")",mls,1,NA,"c(""mvzqoLZQap"", ""wvq9B9wQWn"")"
"c(""vzqoOgNqap"", ""kaDQ0wRqEv"")","c(""vzqoOgNqap"", ""kaDQ0wRqEv"")","c(""vzqoOgNqap"", ""kaDQ0wRqEv"")",mls,1,NA,"c(""vzqoOgNqap"", ""kaDQ0wRqEv"")"
"c(""APk5LGOMOW"", ""kRQabn8MKZ"")","c(""APk5LGOMOW"", ""kRQabn8MKZ"")","c(""APk5LGOMOW"", ""kRQabn8MKZ"")",mls,1,NA,"c(""APk5LGOMOW"", ""kRQabn8MKZ"")"
kRQabn8MKZ,Toronto FC,Toronto FC,mls,1,NA,kRQabn8MKZ
